Institution,Total_2016 / 2017,Men_2016 / 2017,Women_2016 / 2017,Canadian_2016 / 2017,International_2016 / 2017,Total_2017 / 2018,Men_2017 / 2018,Women_2017 / 2018,Canadian_2017 / 2018,International_2017 / 2018,Total_2018 / 2019,Men_2018 / 2019,Women_2018 / 2019,Canadian_2018 / 2019,International_2018 / 2019,Total_2019 / 2020,Men_2019 / 2020,Women_2019 / 2020,Canadian_2019 / 2020,International_2019 / 2020,Total_2020 / 2021,Men_2020 / 2021,Women_2020 / 2021,Canadian_2020 / 2021,International_2020 / 2021,Total_2021 / 2022,Men_2021 / 2022,Women_2021 / 2022,Canadian_2021 / 2022,International_2021 / 2022
"University of Toronto, Ontario",88854.0,39720.0,49134.0,71376.0,17478.0,89826.0,39624.0,50202.0,70695.0,19131.0,91071.0,39825.0,51246.0,70203.0,20868.0,92808.0,40242.0,52566.0,69861.0,22947.0,94731.0,40680.0,54051.0,70104.0,24627.0,96750,41403,55347,69741,27009
"University of Victoria, British Columbia",21462.0,9537.0,11925.0,15540.0,5922.0,21528.0,9531.0,11997.0,15522.0,6006.0,21807.0,9666.0,12141.0,18084.0,3723.0,22101.0,9852.0,12249.0,18186.0,3915.0,22413.0,9822.0,12591.0,18762.0,3651.0,22422,9810,12612,18894,3528
"University of Waterloo, Ontario",37923.0,20358.0,17565.0,30432.0,7491.0,39090.0,20760.0,18330.0,30690.0,8400.0,39990.0,20934.0,19056.0,30939.0,9051.0,40905.0,21108.0,19797.0,31407.0,9498.0,42288.0,21849.0,20439.0,32592.0,9696.0,42552,21855,20697,33030,9522
"University of Windsor, Ontario",15588.0,7551.0,8037.0,12732.0,2856.0,15876.0,7680.0,8196.0,12717.0,3159.0,16203.0,7845.0,8358.0,12612.0,3591.0,16488.0,7731.0,8757.0,12846.0,3642.0,16917.0,7998.0,8919.0,13143.0,3774.0,17223,8145,9078,12972,4251
"University of Winnipeg, Manitoba",10995.0,3822.0,7173.0,10284.0,711.0,10905.0,3753.0,7152.0,10176.0,729.0,10758.0,3753.0,7005.0,9846.0,912.0,10953.0,3927.0,7026.0,9681.0,1272.0,11070.0,3825.0,7245.0,9669.0,1401.0,10926,3822,7104,9318,1608
"University of the Fraser Valley, British Columbia",10140.0,4293.0,5847.0,8874.0,1266.0,10284.0,4344.0,5940.0,8817.0,1467.0,10617.0,4395.0,6222.0,8907.0,1710.0,11268.0,4737.0,6531.0,8985.0,2283.0,10986.0,4338.0,6648.0,9165.0,1821.0,10314,4110,6204,9051,1263
"Université Laval, Quebec",43473.0,18135.0,25338.0,39567.0,3906.0,43452.0,17997.0,25455.0,39609.0,3843.0,43473.0,17817.0,25656.0,39432.0,4041.0,43767.0,17721.0,26046.0,39285.0,4482.0,45672.0,18186.0,27486.0,41586.0,4086.0,47619,18489,29130,43233,4386
"Université Sainte-Anne, Nova Scotia",489.0,168.0,321.0,342.0,147.0,417.0,135.0,282.0,318.0,99.0,498.0,150.0,348.0,390.0,108.0,588.0,162.0,426.0,420.0,168.0,567.0,165.0,402.0,432.0,135.0,531,144,387,405,126
"Université de Moncton, New Brunswick",4926.0,1860.0,3066.0,4149.0,777.0,4929.0,1827.0,3102.0,4239.0,690.0,4773.0,1770.0,3003.0,4020.0,753.0,4998.0,1824.0,3174.0,4215.0,783.0,5061.0,1833.0,3228.0,4245.0,816.0,5220,1992,3228,4167,1053
"Université de Montréal, Quebec",69219.0,28062.0,41157.0,59961.0,9258.0,70593.0,28350.0,42243.0,61104.0,9489.0,69993.0,28287.0,41706.0,60054.0,9939.0,70212.0,28374.0,41838.0,59691.0,10521.0,71448.0,28860.0,42588.0,61674.0,9774.0,70683,28656,42027,59760,10923
"Université de Sherbrooke, Quebec",25008.0,10839.0,14169.0,23313.0,1695.0,25170.0,10887.0,14283.0,23391.0,1779.0,25368.0,11088.0,14280.0,23505.0,1863.0,25659.0,11094.0,14565.0,23724.0,1935.0,24978.0,10581.0,14397.0,23574.0,1404.0,25959,10836,15123,24015,1944
"Université du Québec en Outaouais, Quebec",7398.0,2292.0,5106.0,7113.0,285.0,7161.0,2295.0,4866.0,6855.0,306.0,7140.0,2283.0,4857.0,6765.0,375.0,6942.0,2154.0,4788.0,6486.0,456.0,6912.0,2079.0,4833.0,6537.0,375.0,6489,1941,4548,6045,444
"Université du Québec à Chicoutimi, Quebec",6849.0,2901.0,3948.0,5796.0,1053.0,6684.0,2913.0,3771.0,5388.0,1296.0,6630.0,2817.0,3813.0,5277.0,1353.0,6456.0,2835.0,3621.0,4899.0,1557.0,7104.0,3354.0,3750.0,4656.0,2448.0,7659,2826,4833,4542,3117
"Université du Québec à Montréal, Quebec",41217.0,15618.0,25599.0,37710.0,3507.0,40215.0,15444.0,24771.0,36543.0,3672.0,39315.0,14907.0,24408.0,35463.0,3852.0,37542.0,14283.0,23259.0,33414.0,4128.0,38022.0,14292.0,23730.0,34566.0,3456.0,36075,12960,23115,31920,4155
"Université du Québec à Rimouski, Quebec",7044.0,2136.0,4908.0,6630.0,414.0,6750.0,2100.0,4650.0,6333.0,417.0,6594.0,2121.0,4473.0,6132.0,462.0,6474.0,2013.0,4461.0,5955.0,519.0,6432.0,2019.0,4413.0,5976.0,456.0,6522,2073,4449,5952,570
"Université du Québec à Trois-Rivières, Quebec",14103.0,4803.0,9300.0,13161.0,942.0,14271.0,4845.0,9426.0,13212.0,1059.0,14109.0,4749.0,9360.0,12939.0,1170.0,14229.0,4929.0,9300.0,12762.0,1467.0,14757.0,4890.0,9867.0,13350.0,1407.0,15075,4830,10245,13290,1785
"Vancouver Island University, British Columbia",9477.0,3903.0,5574.0,7896.0,1581.0,9639.0,4008.0,5631.0,7989.0,1650.0,10218.0,4134.0,6084.0,8214.0,2004.0,9879.0,3837.0,6042.0,8031.0,1848.0,8841.0,3399.0,5442.0,7638.0,1203.0,8838,3339,5499,7743,1095
"Western University, Ontario",38103.0,16425.0,21678.0,33630.0,4473.0,38553.0,16494.0,22059.0,33798.0,4755.0,39117.0,16530.0,22587.0,33714.0,5403.0,39846.0,16749.0,23097.0,33807.0,6039.0,41160.0,17151.0,24009.0,35037.0,6123.0,42498,17619,24879,36291,6207
"Wilfrid Laurier University, Ontario",18987.0,8400.0,10587.0,17802.0,1185.0,19866.0,8934.0,10932.0,18528.0,1338.0,20295.0,9135.0,11160.0,18870.0,1425.0,21069.0,9426.0,11643.0,19527.0,1542.0,21960.0,9912.0,12048.0,20496.0,1464.0,22872,10521,12351,21402,1470
"York University, Ontario",52821.0,22635.0,30186.0,45993.0,6828.0,53373.0,23091.0,30282.0,45720.0,7653.0,55641.0,24168.0,31473.0,46608.0,9033.0,55659.0,24414.0,31245.0,45285.0,10374.0,55824.0,24492.0,31332.0,45138.0,10686.0,54723,24114,30609,44106,10617
"École de technologie supérieure, Quebec",8397.0,7251.0,1146.0,7287.0,1110.0,8763.0,7503.0,1260.0,7530.0,1233.0,8640.0,7347.0,1293.0,7245.0,1395.0,8619.0,7218.0,1401.0,6948.0,1671.0,8538.0,7086.0,1452.0,7032.0,1506.0,8604,7044,1560,6471,2133
"École nationale d'administration publique, Quebec",1659.0,735.0,924.0,1545.0,114.0,1668.0,729.0,939.0,1542.0,126.0,1767.0,756.0,1011.0,1599.0,168.0,1827.0,771.0,1056.0,1671.0,156.0,1857.0,798.0,1059.0,1716.0,141.0,1995,795,1200,1839,156
